,N,obj_robust_mean,obj_robust_max,obj_robust_min,obj_nonrobust_mean,obj_nonrobust_max,obj_nonrobust_min,robust_obj,nonrobust_obj
21,220,-256.5575636045542,-249.51832698429243,-263.519753752605,-256.55756347868527,-249.518326858423,-263.5197536267357,-276.3140971340038,-260.65
22,230,-256.4319254734154,-250.1301688194337,-265.38256572804545,-256.4319250559552,-250.13016840197366,-265.3825653105855,-275.96515764916006,-260.65
23,240,-256.5220813418256,-250.9534174802881,-263.19507271020177,-256.5220812487832,-250.9534173872453,-263.1950726171589,-275.63858716690055,-260.65
24,250,-256.46892092006345,-249.97165456891938,-263.7330362900869,-256.46892040875764,-249.9716540576144,-263.7330357787818,-275.33214338421067,-260.65
25,260,-256.3964763309492,-249.35855516573446,-262.8156542567201,-256.39647505077926,-249.35855388556445,-262.81565297655004,-275.04382143768527,-260.65
26,270,-256.3712232019965,-249.25146803500274,-262.9480491360749,-256.37121765326293,-249.2514624862692,-262.9480435873414,-274.7719829228365,-260.65
27,280,-256.345501792914,-247.15219865114767,-262.3877604666314,-256.3455011306905,-247.15219798892426,-262.3877598044079,-274.5148135119054,-260.65
28,290,-256.1404048332199,-248.94156817836452,-263.9282926496966,-256.1404019740529,-248.9415653191974,-263.9282897905293,-274.27139075402465,-260.65
29,300,-256.2618022630636,-249.23814342639324,-262.63319085740835,-256.261801921534,-249.2381430848634,-262.6331905158786,-274.04032025998174,-260.65
30,310,-256.2764358639736,-250.26151231384574,-261.44048645542154,-256.2764347646673,-250.26151121453955,-261.4404853561154,-273.8207134939834,-260.65
31,320,-256.2381133424205,-249.2090113122282,-262.14713113679255,-256.2381128576553,-249.20901082746272,-262.147130652027,-273.6115760205539,-260.65
32,330,-256.2915625285274,-250.19944837296734,-263.2881763222988,-256.2915617878221,-250.19944763226204,-263.28817558159346,-273.4121425206053,-260.65
33,340,-256.3007417906497,-250.84163591107426,-262.1090681311611,-256.3007408159846,-250.8416349364094,-262.1090671564963,-273.2216573528678,-260.65
34,350,-256.18815390036957,-250.57366783160384,-261.6753638163609,-256.1881537856593,-250.57366771689317,-261.67536370165027,-273.0394679166414,-260.65
35,360,-256.253269931883,-250.77939440467512,-261.67605694385367,-256.25326955827916,-250.77939403107158,-261.6760565702501,-272.86504945074785,-260.65
36,370,-256.027716340708,-250.6800396200153,-262.5932939052495,-256.02771584433333,-250.68003912364088,-262.5932934088751,-272.6977844294616,-260.65
37,380,-256.13599272084355,-250.02927597713764,-262.4583413800219,-256.1359920692378,-250.02927532553176,-262.4583407284161,-272.537186839207,-260.65
38,390,-256.0859017558516,-250.32137723863374,-261.2288441341889,-256.0859009829111,-250.32137646569333,-261.2288433612485,-272.38292598675446,-260.65
39,400,-256.1048991234666,-251.38484102649488,-262.06752114635134,-256.1048983828785,-251.38484028590688,-262.0675204057633,-272.2345175722892,-260.65
40,410,-256.0543391750773,-250.94531834022916,-261.19694771151984,-256.05433835869195,-250.9453175238441,-261.1969468951348,-272.09158413785667,-260.65
41,420,-256.1235174489976,-250.8803537594143,-261.9534813409557,-256.12351740188086,-250.88035371229768,-261.95348129383905,-271.95383963689983,-260.65
42,430,-256.02375021425485,-250.58355690725202,-262.2386265230044,-256.0237498583728,-250.58355655136995,-262.23862616712216,-271.82098851282814,-260.65
43,440,-256.13084324836205,-250.49868989973177,-260.7730463183765,-256.13083936531956,-250.49868601668965,-260.7730424353343,-271.69279157096906,-260.65
